,id,question,A,B,C,D,answer
417,Mercury_7029943,The bonding of oxygen to red blood cells is important to the body because it enables the body to,absorb nutrients from food.,make energy from light.,maintain a constant temperature.,perform aerobic respiration in cells.,D
418,ACTAAP_2012_7_6,Some of Earth's water is stored underground in porous rock formations known as aquifers. Which of these could use up groundwater in aquifers?,abundant rain in the Ozarks,excessive pumping from wells,dams on the lower Mississippi,community water conservation,B
419,NYSEDREGENTS_2009_8_21,All plants and animals have mechanisms that,transport nutrients,perform photosynthesis,regulate nerves,produce flowers,A
420,Mercury_404692,Which is the best tool to measure the angles of a triangular object?,a meter stick,a compass,a protractor,a spring scale,C
421,NYSEDREGENTS_2007_8_19,All living organisms are dependent on plants because plants,produce carbon dioxide,remove oxygen from the air,are producers,are consumers,C
422,ACTAAP_2013_5_15,"Compared to other stars in our galaxy, which is the best description of our Sun?","larger size, higher temperature","smaller size, higher temperature","larger size, average temperature","average size, average temperature",D
423,MCAS_1999_8_15,"While studying the relationship between number of trees and amount of atmospheric oxygen, which of the following would be most important to take into account?",contributions to atmospheric oxygen from sources other than trees,the ways in which industrialized nations use trees,the root area of trees,the bark mass of trees,A
424,Mercury_7042875,"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display?",a list of authoritative sources that supports her conclusion,instructions for viewers to repeat her procedures,clearly illustrated diagrams of the scientific principles involved,a complete write-up of her experimental method and data collected,D
425,Mercury_7216265,Which of the following describes asexual reproduction?,the process of meiosis in a fruit fly,fertilization of a chicken egg,binary fission in an amoeba,the process of embryo development in a mouse,C
426,Mercury_186358,Which scientist is known for his genetics experiments with pea plants?,Charles Darwin,Gregor Mendel,Carolus Linnaeus,Robert Hooke,B
427,NCEOGA_2013_5_30,"On a cold, cloudy day, the local weather forecaster predicts that a high-pressure system will be moving into the area in the next 24 hours. Which weather conditions will this system most likely bring to the area?",stormy,sunny,snowy,hot,B
428,Mercury_SC_LBS10947,What determines if twins are identical?,their genes,their behavior,their environment,their personalities,A
429,Mercury_7082828,Which of these processes is a conversion made by solar panels?,mechanical energy to nuclear energy,thermal energy to chemical energy,kinetic energy to potential energy,radiant energy to electrical energy,D
430,Mercury_7202615,"In fruit flies, red eyes are dominant over sepia eyes. A male with red eyes is crossed with a female with sepia eyes producing first generation offspring that all had sepia eyes. What does this indicate about the flies that were crossed?",Both parents are homozygous for the trait.,Both parents are heterozygous for the trait.,The male is heterozygous and the female is homozygous recessive for the trait.,The male is homozygous dominant and the female is heterozygous for the trait.,C
431,Mercury_7137638,Acid rain caused by industrial pollution greatly reduces the number of trees in a forested region that is home to a particular species of bird. How might this decrease in the number of trees most likely affect this bird population?,The population will adapt to ground dwelling.,The population will decrease due to lack of resources.,The population will stabilize when it moves to another region.,The population will increase as predators move out of the region.,B
432,VASoL_2008_5_31,Which of these is the main function of a cell wall?,To make food,To store water,To provide support,To make the plant green,C
433,AIMS_2008_8_14,Which sentence about the periodic table of elements is true?,All elements in period 2 are metals.,All elements in group 18 are metals.,Metals are found on the left side of the periodic table.,Metals are found on the right side of the periodic table.,C
434,CSZ_2008_5_CSZ20249,"Salt concentration, water temperature, plankton, and the whale shark might all be used in a description of an ocean",climate.,food web.,ecosystem.,population.,C
435,Mercury_7205765,"Rocks can be classified many different ways, including as igneous, metamorphic, and sedimentary. This classification is based on the",origin of the rocks.,use of the rocks.,size of the rocks.,hardness of the rocks.,A
436,Mercury_SC_413003,A mountain range has hills around its edges. How are the mountains and hills alike?,Both have grass at the top.,Both are at least 1000 meters tall.,Both have liquid rock at their centers.,Both are taller than the land around them.,D
437,Mercury_7094430,Human muscle cells need nutrients and oxygen during exercise. The human body is able to meet the needs of the muscle cells during exercise by increasing,digestion.,excretion.,secretion.,circulation.,D
438,Mercury_SC_408361,Phyllis investigated what happened when she added some different substances to water. Which substance can combine with water to form a solution?,oil,rocks,soil,sugar,D
439,Mercury_SC_400190,Fossil fuels are considered a nonrenewable resource because they,have turned into solid rock.,take a long period of time to form.,are expensive to remove from rock.,are located deep within the Earth's crust.,B
440,NYSEDREGENTS_2005_4_19,A student is growing some plants for an experiment. She notices small white spots on the leaves. Which tool should she use to get a better look at the spots?,thermometer,hand lens,graduated cylinder,balance,B
441,Mercury_7267978,"Why are seals able to live off the coast of Antarctica while frogs, snakes, and panthers are not?",Seals can swim.,Seals are predators.,Seals have fur and blubber.,Seals are warm-blooded animals.,C
442,Mercury_7252193,How are the functions of a carbohydrate and a lipid similar?,Both are a source of energy.,Both are replicated during meiosis.,Both lower the activation energy of reactions.,Both dissolve nutrients in the digestive system.,A
443,Mercury_402206,"Traveling in opposite directions, buses A and B are passing each other at the relative speed of 25 km/h, while a passenger on bus A walks toward the back of the bus at the speed of 5 km/h. What is the velocity of the passenger on bus A relative to bus B?",20 km/h in the direction of bus A,20 km/h in the direction of bus B,30 km/h in the direction of bus A,30 km/h in the direction of bus B,A
444,NYSEDREGENTS_2009_4_3,A student drops a ball. Which force causes the ball to fall to the ground?,electricity,friction,gravity,magnetism,C
445,Mercury_7221288,"Hydrogen is located on the left side of the periodic table in the same column as the alkali metals, but it has characteristics of a nonmetal. Which of the following is a physical property of hydrogen?",Hydrogen can bond to itself.,Hydrogen makes positive ions.,Hydrogen is a gas at room temperature.,Hydrogen is combustible.,C
446,Mercury_SC_402059,"In an experiment, a scientist named Pavlov rang a bell before he fed his dogs, which made the dogs drool. Soon the dogs would drool when they heard the bell, even if they did not receive any food. What type of response did the dogs exhibit?",an instinct,an inherited trait,a learned behavior,a conscious behavior,C
447,Mercury_SC_405298,Which invention will best help people travel quickly to far away places?,car,boat,airplane,skateboard,C
448,Mercury_7283623,"What is an environmental threat posed by oil and gas acquisition and transport that is not posed by the acquisition and transport of the energy resources uranium, and wood?",habitat change,vehicle pollution,pipeline leaks,soil compaction and loss,C
449,Mercury_7026390,Some plant species are more tolerant of acidic soil than others. The tolerant species are favored in areas affected by which consequence of human activity?,mixing of pollutants with rain,erosion of topsoil by clearcutting,runoff of fertilizer used in farming,thinning of the atmospheric ozone layer,A
450,Mercury_7068653,Which resource has the most potential for production of renewable electric energy?,coal,oil,natural gas,geothermal,D
451,MCAS_2008_8_5718,"A layer of solid brittle rock comprises the outer 100 kilometers of Earth. This layer, which contains both the crust and the upper mantle, is called the",core.,sediment.,lithosphere.,hemisphere.,C
452,Mercury_7005040,"During its lifetime, which object is known to change in brightness, color, and temperature?",star,moon,asteroid,planet,A
453,Mercury_7007403,What causes a free falling object to accelerate?,inertia,gravity,initial speed,initial direction,B
454,Mercury_7043838,What is the main source of energy that drives all weather patterns?,the Sun,oceans,the Moon,mountains,A
455,NYSEDREGENTS_2007_8_27,What is one factor that contributes to seasons occurring in New York State?,the revolution of the Moon around Earth,the tilt of Earth on its axis,the rising and falling of ocean tides,the distance of Earth from the Sun,B
456,ACTAAP_2009_5_6,Which cell part is correctly paired with its function?,nucleus-controls cell activities,chloroplast-outside boundary of plant cells,cell wall-controls what goes in and out of cells,cell membrane-where photosynthesis takes place,A
457,Mercury_7207585,"A meeting of scientists, called a symposium, occurs every year to share recent research about the atmosphere of Earth. This symposium mainly serves which purpose in science?",to test research methods used by other scientists,to develop questions about space research,to discuss the meaning of new discoveries,to explain gas properties to the general public,C
458,ACTAAP_2009_7_13,A wind turbine primarily uses which type of energy?,nuclear,thermal,chemical,mechanical,D
459,Mercury_SC_401377,A rubber band will make a sound when it is,vibrated.,stretched.,cut into pieces.,shot across a room.,A
460,Mercury_7016205,What would a warm air mass over the ocean most likely cause?,earthquake,snowfall,tsunami,rainfall,D
461,NYSEDREGENTS_2007_8_25,The Moon is visible to observers on Earth because of,reflected sunlight,absorbed light from Earth's atmosphere,gases in the Moon's interior,volcanic eruptions on the Moon's surface,A
462,Mercury_7071593,Which illness is always caused by an infection?,a heart attack,a broken bone,influenza,cancer,C
463,Mercury_SC_408710,Jonny climbed an apple tree. How are Jonny and the apple tree similar to each other?,Both are made of cells.,Both take in carbon dioxide.,Both get nutrients directly from soil.,Both get energy from other organisms.,A
464,Mercury_402571,What are the names of the products in the chemical equation shown below? HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O,hydrochloric acid and sodium carbonate,"sodium chloride, carbon dioxide, and water",hydrogen chloride and sodium bicarbonate,"sodium chloride, carbon monoxide, and dihydrogen oxide",B
465,NYSEDREGENTS_2005_4_29,A ball is tossed up in the air and it comes back down. The ball comes back down because of,gravity,friction,erosion,magnetism,A
466,Mercury_SC_405456,Timber companies can best manage the number of trees in forests by,converting deforested areas into malls.,planting trees to replace what they cut down.,adding pesticides to the soil around the trees.,removing the tree stumps when trees are cut down.,B
467,Mercury_7202248,The formation of the Himalayan Mountains is one example of land features caused by compressive forces. Which action most likely led to the formation of these mountains?,seafloor spreading,strike-slip faulting,colliding plates,hot spots,C
468,Mercury_7139563,What abiotic factor would most likely signal a population of birds that it is time to migrate from north to south?,decrease in sunlight,change in precipitation,increase in food source,change in wind direction,A
469,Mercury_7016958,A greenhouse is used as a model of the atmosphere. Which of the following cannot be demonstrated by the model?,energy used to evaporate water,changes in greenhouse gases,light energy trapped as heat energy,energy that builds up in the greenhouse air,B
470,Mercury_7042963,"A light bulb manufacturer claims its light bulb is ""twice as bright"" per unit of electrical energy consumed as the leading light bulb. If this claim is correct, what factor must be accurately compared between the two bulbs?",how much each bulb weighs,how long each bulb lasts,how much heat each bulb releases,how much metal each bulb contains,C
471,Mercury_7013615,"In the 17th century, Gregor Mendel crossed pea plants with different traits and observed the results in their offspring. To which of these did Mendel contribute most directly with his work?",medicine,agriculture,science of force and motion,science of heredity and variation,D
472,Mercury_SC_LBS10351,How does the appearance of a constellation change during the night?,Its shape appears to become longer.,Its position appears to shift relative to the horizon.,Its brightest stars begin to appear orange.,Its distance to the North Star decreases.,B
473,CSZ_2008_5_CSZ20469,The freezing and thawing action of water affects a rock by,transforming the rock into igneous rock.,chemically changing the rock.,gradually breaking down the rock into smaller pieces.,leaving behind sedimentary particles from evaporated solutions.,C
474,MCAS_2007_5_4772,Delilah put a container of water in the freezer and left it there overnight. The next morning she saw that the water in the container had changed to ice. Which of the following statements best explains why the water changed to ice?,The water gained energy.,The water absorbed light.,Mass was released from the water.,Heat was taken away from the water.,D
475,MCAS_2000_4_14,Earth's rotation (turning on its axis) causes,the seasons to change.,the Moon to appear as different shapes.,day and night.,solar eclipses.,C
476,MCAS_2005_5_32,Which of the following climates has cold winters and hot summers?,polar,subtropical,temperate,tropical,C
477,NYSEDREGENTS_2009_4_10,What form of energy is being used when a person pushes a wooden block across the floor?,mechanical,magnetic,sound,electrical,A
478,Mercury_405167,Which action is an example of good water management?,letting faucets drip,watering the grass every day,turning off the faucet when brushing teeth,running the dishwasher when it is not full,C
479,TIMSS_2007_8_pg97,An Earth year is the length of time it takes for,Earth to rotate once on its axis,the Moon to revolve once around Earth,the Sun to revolve once around Earth,Earth to revolve once around the Sun,D
480,Mercury_SC_401243,Which land form results when carbonic acid in groundwater seeps through rock and dissolves limestone?,valleys,ravines,caverns,mountains,C
481,Mercury_7228480,Which part of a DNA molecule represents encoded information?,phosphate,sugar,guanine,hydrogen bond,C
482,VASoL_2011_5_4,Early scientists most likely saw a discharge of electricity for the first time when observing a,waterfall,rainbow,lightning storm,volcano erupting,C
483,NYSEDREGENTS_2009_8_34,"In humans, the amount of sugar in blood is controlled by the release of a hormone called insulin. This process is an example of",depletion,digestion,regulation,excretion,C
484,MCAS_1999_8_21,It is necessary to add a day to the calendar every four years because,the axis of Earth is tilted.,the gravitational pull of the Sun affects Earth's revolution.,the revolution of Earth is not exactly 365 days.,the Moon crosses the orbit of the Sun every 28 days.,C
485,Mercury_SC_400141,Which tool would be best to measure the length of a butterfly?,triple beam balance,graduated cylinder,metric ruler,thermometer,C
486,Mercury_SC_405001,Scientists invented a liquid that removes grease and keeps the skin soft. How could this discovery most likely be used?,to improve dish soap,to cure a disease,to make clothes,to grow plants,A
487,Mercury_SC_415388,The first step in the water cycle is evaporation. What gives water the energy to evaporate?,Sun,wind,clouds,waves,A
488,AKDE&ED_2008_4_10,"On a warm sunny afternoon, ocean water splashed onto a rock. A short time later, the rock was dry. Which statement best explains what happened to the water on the rock?",Heat caused the water to become a gas.,Heat melted the water and it disappeared.,Salt caused the water to become a gas.,Salt melted the water and it disappeared.,A
489,ACTAAP_2007_7_29,Which is a nonrenewable natural resource that is used to make electrical energy?,coal,wind,water,thermal,A
490,Mercury_7239785,Which process initiates the passage of half of a parent's DNA to offspring?,meiosis,mitosis,fertilization,differentiation,A
491,Mercury_SC_411884,Which resource provides the minerals plants need to grow?,sunlight,water,soil,air,C
492,LEAP_2011_4_10297,At what time on a sunny day will the shadow of the school's flagpole be the shortest?,sunrise,noon,mid-afternoon,sunset,B
493,NYSEDREGENTS_2005_4_11,Animals get energy for growth and repair from,soil,food,water,air,B
494,Mercury_SC_401356,A flower produces seeds that fall to the ground and grow into new plants that produce more flowers. The seeds begin to grow by the process of,fertilization.,germination.,maturation.,pollination.,B
495,Mercury_182035,A rock has most likely traveled a long distance from its place of origin if it is,very small.,rounded and smooth.,partially faded.,rough and dense.,B
496,Mercury_7092383,Which of the following best explains why the tectonic plates of Earth move?,conduction from solar heating,heat convection from the mantle,global winds,ocean currents,B
497,Mercury_7137813,"Over a long period of time, a rocky volcanic island that previously did not support any form of life got transformed into a dense forested region. Which of these species is most likely to have been the pioneer species that initiated this transformation?",ferns,grasses,lichens,mushrooms,C
498,Mercury_SC_400129,The formation of coal deposits occurred over millions of years. Which feature was most responsible for these deposits?,barren deserts,active volcanoes,mountains covered in trees,swamps with dense vegetation,D
499,Mercury_7164500,A teacher is performing a demonstration about static electricity for his class by rubbing a balloon against a wool sweater. The balloon sticks to the wool sweater. Which particles are exchanged during the demonstration?,atoms,protons,neutrons,electrons,D
500,Mercury_404951,"After a race, a newspaper lists the names of the five fastest runners. Another method that could be used to identify the five fastest runners is to make a chart that shows the",average of the speeds of the runners.,total distance for each runner.,time it took each runner to run the race.,percentage of the runners who finished the race.,C
501,LEAP__7_10353,A scientist plans to investigate the nervous system of sea slugs. What should the scientist do first?,Develop a theory about sea slugs that can be tested.,Go to the ocean to observe the behavior of sea slugs.,Obtain several sea slugs and conduct experiments with them.,Review the research other scientists have done on sea slugs.,D
502,Mercury_7182193,Natural selection is a mechanism that acts on individuals within a population. Which is a result of the process of natural selection?,The reproductive rate of the population decreases.,Genetic similarity within the population increases.,Organisms are better adapted to their environment.,Adverse changes to the environment become more frequent.,C
503,Mercury_415543,What chemical symbol represents the element iron?,Fe,I,Ir,Pb,A
504,Mercury_SC_LBS10909,A push or a pull on an object is an example of,force.,weight.,energy.,work.,A
505,AIMS_2009_4_30,Which statement is a description of weather?,Summers in Tucson are hot and dry.,Winters in Flagstaff are cold and snowy.,The temperature is 55° F in Winslow today.,The Sun will set in Yuma today at 6:45 p.m.,C
506,MCAS_2015_5_9,Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening?,sleet changing to hail,snow changing to rain,rain changing to sleet,snow changing to hail,C
507,Mercury_7024973,"The human body has an average, normal temperature of about 98.6ºF. To keep the core body temperature from becoming too high, the brain sends a signal to the body to",decrease sugar levels in the blood.,increase sugar levels in the blood.,decrease blood flow to the skin.,increase blood flow to the skin.,D
508,Mercury_SC_408539,Why is water considered to be a renewable resource?,Water can be used over again.,Water can be found all over Earth.,Water can dissolve other substances.,Water is needed by organisms to stay alive.,A
509,Mercury_7017833,What is the most prominent land feature formed by the convergence of the Indo-Australian and Eurasian plates?,China,Australia,Ural Mountains,Himalaya Mountains,D
510,AIMS_2008_4_10,To which group does an animal belong if it lays eggs and has scales and gills?,amphibian,bird,fish,reptile,C
511,Mercury_SC_406744,What causes nighttime and daytime on Earth?,the Sun rotating on its axis,Earth rotating on its axis,Earth revolving around the Sun,the Moon revolving around Earth,B
512,Mercury_SC_417575,Which area is coldest?,rainforest,tundra,grassland,reef,B
513,Mercury_SC_401799,Which scientist is credited with using a telescope in the seventeenth century to discover the moons of Jupiter?,Galileo,Kepler,Einstein,Newton,A
514,Mercury_7217893,Which of these is a freshwater reservoir?,Gulf of Mexico,Pacific Ocean,Atlantic tidal basin,Antarctic polar ice,D
515,Mercury_7263113,"In eukaryotic organisms, microtubules give cells structure, and microfilaments help the cell contract and move. Together, they combine to perform functions similar to what two human body systems?",the endocrine and skeletal systems,the circulatory and respiratory systems,the skeletal and muscular systems,the integumentary and excretory system,C
516,OHAT_2011_8_2,Which kind of rock is produced by deposition and cementation?,"marble, a metamorphic rock","sandstone, a sedimentary rock","granite, an intrusive igneous rock","pumice, an extrusive igneous rock",B
517,NYSEDREGENTS_2005_4_2,Which characteristic is inherited rather than learned?,telling a story,saluting the flag,having blue eyes,riding a bicycle,C
518,ACTAAP_2013_7_3,Which biological process in mammals occurs largely due to cell division?,healing,respiration,decomposition,photosynthesis,A
519,MCAS_1998_8_18,Frame construction predominates in the New England area due to the abundance of,clay.,masonry.,wood.,steel.,C
520,Mercury_7207480,Which of these properties of water helps moderate the weather of coastal areas?,neutral pH,high specific heat,dissolves many substances,floats as a solid,B
521,Mercury_SC_400326,Birds eat non-camouflaged moths at a higher rate than they eat camouflaged moths. In which situation would birds eat the moths at the slowest rate?,dark moths in any environment,light moths in any environment,dark moths in a light environment,light moths in a light environment,D
522,NYSEDREGENTS_2011_8_14,During which process does a caterpillar become a butterfly?,fertilization,metamorphosis,asexual reproduction,biological adaptation,B
523,Mercury_7188983,Gregor Mendel cross-pollinated red and white snapdragon flowers. What information indicates that incomplete dominance was achieved?,The offspring had heterozygous alleles.,The offspring had a recessive allele.,The offspring were pink.,The offspring were red.,C
524,NYSEDREGENTS_2009_8_22,What is the major function of the human excretory system?,eliminate waste materials,respond to stimuli,break down food mechanically,absorb nutrients from food,A
525,TIMSS_2003_4_pg37,Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?,Copper is a good conductor of heat.,Copper is easy to melt.,Copper is difficult to shape.,Copper dissolves in hot water.,A
526,Mercury_7228253,"In most animals, combinations of various tissues make up functional units called",epithelial cells.,organs.,organ systems.,populations.,B
527,AIMS_2009_4_18,How do the spines of a cactus help it survive?,Spines help the cactus get moisture.,Spines anchor the cactus in the ground.,Spines protect the cactus from animals.,Spines support the stems and branches of the cactus.,C
528,Mercury_7012565,Water enters a plant cell through the,cell wall.,chloroplasts.,mitochondria.,nucleus.,A
529,MCAS_1998_4_4,People are developing electric cars that would replace gasoline-burning cars. One major advantage of the electric car is that it,accelerates faster.,causes less pollution.,gives a smoother ride.,needs no battery.,B
530,NAEP_2000_8_S21+1,Which group of organisms would all be found living in a tropical rain forest?,"Lizards, insects, cacti, kangaroos","Vines, palm trees, tree frogs, monkeys","Evergreens, moose, weasels, mink","Lichens, mosses, caribou, polar bears",B
531,Mercury_7217385,Which SI unit would be most appropriate for recording the length of a typical classroom?,gram,kilogram,meter,kilometer,C
532,Mercury_7069440,"If two objects are two meters apart, which of these changes will increase the gravitational force between the two objects?",decreasing the mass of one object,decreasing the mass of both objects,moving the objects to one meter apart,moving the objects to three meters apart,C
533,Mercury_7056840,Which of these cell structures converts nutrients to energy for cell functions?,cell membrane,chloroplasts,mitochondria,endoplasmic reticulum,C
534,Mercury_7103268,Cumulonimbus clouds often form along cold fronts. Which type of weather is most likely to occur along a cold front?,moderate temperature with mild breezes,storms with hurricane winds,rain with possible severe thunderstorms,high temperatures with low winds,C
535,Mercury_SC_408894,An eagle is a bird that reproduces by laying its eggs in a dry nest. Which animal lays its eggs in a place most similar to the eagle?,amphibian,fish,mammal,reptile,D
536,Mercury_401993,The chemical formula for water is H_{2}O. What does the formula show about each element in the compound?,the number of valence electrons,the charge of the compound,the mass of protons in each atom,the number of atoms of each element,D
537,Mercury_400096,How far from Earth is an object that is 10 light years from Earth?,"10,000 km","10,000,000 km",the distance light can travel in 10 years,ten times the distance from Earth to the Sun,C
538,Mercury_7213168,The oceans most influence global climate by,releasing heat to the atmosphere.,cooling bordering land masses.,providing continuous onshore winds.,removing water vapor from the atmosphere.,A
539,Mercury_7124163,A science class investigated the percentage of corn kernels that pop in bags of different brands of popcorn. Fifteen students tested three brands of popcorn each and reported their results to the class. Why did the teacher most likely have so many students report the results?,for more accurate results,for more student participation,to help simplify the procedure,to help explain the hypothesis,A
540,Mercury_7077630,The smallest part of an element that retains the properties of the element is the,proton.,nucleus.,electron.,atom.,D
541,Mercury_7037485,What is the composition of the nucleus of an atom?,ions and electrons,electrons and protons,protons and neutrons,neutrons and electrons,C
542,Mercury_SC_LBS11007,Which of these would best be shown as a 3-D model?,color spectrum,magnetic field,skeletal system,water cycle,C
543,Mercury_7064365,A root emerges from a seed because of the force of,water against the seed coat.,air pushing on the seed.,gravity on the seed.,soil pressing on the seed.,A
544,VASoL_2008_3_14,Which of these is the BEST reason to study weather?,To be prepared for storms,To learn how fossils are formed,To see changing phases of the Moon,To find ways for animals to live longer,A
545,MCAS_2005_9_3,A recycling plant manager needs to melt 1500 kg of scrap copper to sell to a wire manufacturer. The copper is at 15°C and its melting point is 1083°C. The copper has a specific heat of 385 J/kg x K. How much heat is required to raise the temperature of the copper to its melting point?,6.2 x 10^8 J,6.3 x 10^8 J,7.7 x 10^8 J,7.9 x 10^8 J,A
546,NYSEDREGENTS_2007_4_30,A decomposer is an organism that,preys on other animals,eats only plants,recycles nutrients,uses sunlight to make food,C
547,ACTAAP_2008_5_8,Which type of scientist would study the relationship between simple machines and energy?,chemist,biologist,physicist,geologist,C
548,VASoL_2007_3_34,The seeds of an oak come from the ___.,fruit,leaf,root,stem,A
549,MCAS_2007_8_5161,"A manufacturer wants to produce a container for food storage that does not break easily and is airtight, inexpensive, and microwave-safe. Which of the following is the best material to use to make the container?",glass,metal,paper,plastic,D
550,NYSEDREGENTS_2007_8_30,"When carbon and oxygen combine chemically, the mass of the product is",greater than the mass of the carbon plus the mass of the oxygen,equal to the mass of the carbon plus the mass of the oxygen,equal to the mass of the carbon,less than the mass of the carbon,B
551,Mercury_7217543,Juvenile diabetes is a disease caused by the body's inability to create insulin. The body's white blood cells attack the pancreatic cells that produce insulin. This type of disease is known as,a cardiovascular disease.,an infectious disease.,a digestive system disease.,an autoimmune disease.,D
552,Mercury_SC_413625,Which of these describes a property of all matter?,All matter gives off light.,All matter is attracted by magnets.,All matter is made of atoms.,All matter dissolves in water.,C
553,MCAS_2007_8_5186,Which of the following is a characteristic of all chemical changes?,A different state of matter is produced.,Some mass is converted to energy.,Some form of light is given off.,A new material is formed.,D
554,Mercury_7228498,What is the complementary base of adenine in DNA?,cytosine,thymine,guanine,uracil,B
555,CSZ_2009_8_CSZ30348,What is the density of a 64-g iron cube that displaces 8 mL of water?,512 g/mL,32 g/mL,8 g/mL,4 g/mL,C
556,Mercury_401315,What keeps Mars in orbit around the Sun?,friction,gravity,magnetism,solar power,B
557,NYSEDREGENTS_2011_8_29,Which material is primarily a mixture of weathered rock and organic matter?,minerals,soil,ocean water,seashells,B
558,CSZ_2005_5_CSZ10170,How do plants most commonly break large rocks into smaller pieces?,Plant leaves insulate surrounding rocks from extreme temperatures.,Plant roots grow into cracks in rocks.,Seeds from plants fall onto rocks and release acidic compounds.,Stems of plants surround and squeeze rocks.,B
559,Mercury_7212975,Which statement best describes the climate of Nevada?,Temperature at night dropped behind a cold front.,Wind increased during the day.,Humidity is low throughout every summer.,Air pressure increased gradually all week.,C
560,Mercury_7220920,What is the primary function of skin cells?,to deliver messages to the brain,to generate movement of muscles,to provide a physical barrier to the body,to produce carbohydrates for energy,C
561,MCAS_2004_5_3,"Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?",animals,climate,tides,wind,B
562,MEA_2013_8_17,A geologist found fossils of horse bones in different rock layers of a canyon. The fossils in the lower levels show shorter bones than those in the upper-level fossils. Which conclusion is based on the geologist's observations?,Horse's reproduce using two parents.,Horse's became larger over time.,"Smaller Horse's went extinct, and then larger Horse's formed.",Smaller Horse's are better suited to the environment than larger Horse's.,B
563,Mercury_7267820,Which of the following is a reason life in the outermost planets is less likely than life on planets nearer the Sun?,They have too little mass.,They have too much mass.,Their surfaces are extremely hot.,Their surfaces are extremely cold.,D
564,NCEOGA_2013_8_2,Which statement best explains how periods on the periodic table are organized?,increasing atomic number from left to right,increasing number of neutrons from left to right,decreasing number of electrons from left to right,decreasing atomic mass number from left to right,A
565,Mercury_SC_408781,Nonrenewable sources of energy have limited supplies. Researchers are developing devices that will make renewable energy more available. Which is a source of renewable energy?,coal,gasoline,oil,wind,D
566,Mercury_7268100,Which of these living things in a grassland ecosystem depend on the presence of a variety of bacteria and other microorganisms in the soil?,worms only,green plants only,plants and animals only,all the organisms in the ecosystem,D
567,Mercury_7136080,An ecosystem is a community of organisms interacting with their physical environment. Why are decomposers an important part of ecosystems?,They break down dead organisms to return nutrients to the soil.,They produce their own food for survival.,They play a role in preventing weathering and erosion.,They provide most of the energy to consumers.,A
568,NYSEDREGENTS_2011_8_26,Which term identifies a group of cells that work together to perform a similar function?,molecule,organ,organism,tissue,D
569,Mercury_7015873,Which of these statements is not considered part of the Big Bang Theory?,The universe is expanding.,The universe never changes.,"The universe began in a hot, dense state.",The universe began at a single point and time.,B
570,Mercury_7194338,Cells in the body use oxygen (O2) for cellular respiration. Which is the result of cellular respiration?,ATP is produced and carbon dioxide (CO2) is released.,ATP is consumed and carbon dioxide (CO2) is released.,ATP is produced and carbon dioxide (CO2) is absorbed.,ATP is consumed and carbon dioxide (CO2) is absorbed.,A
571,Mercury_7068548,Which geologic process is absent from the Gulf Coast states?,beach development,subduction zones,weathering,erosion,B
572,NYSEDREGENTS_2016_4_11,The human body gets the energy it needs for growth and repair directly from,soil,food,sunlight,water,B
573,Mercury_7085173,In what type of rock would a geologist most likely find evidence of ancient life?,sedimentary,foliated,metamorphic,volcanic,A
574,ACTAAP_2010_5_3,"During the Apollo 14 moon landing, astronauts played golf on the moon. Which of the following would be less on the moon than on Earth?",The mass of the golf ball,The weight of the golf ball,The mass and size of the golf ball,The weight and size of the golf ball,B
575,Mercury_SC_400596,"Evaporation, condensation, and precipitation are all processes which occur in the",water cycle.,energy cycle.,carbon cycle.,nitrogen cycle.,A
576,AIMS_2009_4_10,Directions Read the information about wind erosion then answer the question. Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Walter wanted to find out if faster wind speeds increased the amount of wind erosion. Which instrument should he use to measure wind speed?,anemometer,barometer,rain gauge,thermometer,A
577,CSZ_2008_5_CSZ10104,Where does oxygen-rich blood go after leaving the lungs?,the brain.,the heart.,the kidney.,the stomach.,B
578,MDSA_2008_5_1,Chemical pesticides are sometimes sprayed on crops to kill insects that eat the crops. People have different viewpoints about the use of pesticides on crops. What might be a concern about using pesticides on the crops?,Will the food ripen?,Will the food stay fresh?,Will the food harm humans?,Will the food harm bugs in the home?,C
579,Mercury_SC_405295,The number of fish in a lake suddenly increases. How will the increase most likely affect the lake?,There will be less water in the lake.,More plants will grow in the lake.,More frogs will live in the lake.,There will be fewer insects in the lake.,D
580,AKDE&ED_2012_8_24,Which statement correctly describes a relationship between two human body systems?,The digestive system absorbs nutrients which are transported by the nervous system.,The digestive system absorbs nutrients which are transported by the circulatory system.,The circulatory system exchanges gases which are transported by the nervous system.,The circulatory system exchanges gases which are transported by the digestive system.,B
581,AKDE&ED_2012_8_12,Which statement best explains Earth's day and night cycle?,Earth rotates once each day on its axis.,Earth revolves around the Sun each year.,The Sun is closest to Earth during the day.,The tilt of Earth changes throughout the year.,A
582,NCEOGA_2013_5_S1,What is the first thing a student should do if an accident happens during a science experiment?,report to the teacher,clean the laboratory station,locate the nearest exit,put on safety goggles,A
